ChatType,TutorialPhase,Time,SetLayer,Speaker,Belong,Dialog,Choice_0,Choice_1,Choice_2,Jump_0,Jump_1,Jump_2,RemindInstruction
TD,,,,조르주,암호 체계 교육 AI,"말하자면, 교육에 집중하지않는 사용자들에게 압박을 가하기 위한 설정된 반응입니다.",,,,,,,
A,,,,,,,"거참, 너나 나나 참 피곤하게 사는군.",,,,,,
TD,,,,조르주,암호 체계 교육 AI,저는 사용자님에게 본 교육에 집중하여 신속하게 과정을 끝마치는 것을 추천드립니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,저랑 눈싸움이나 말싸움에 나서셔도 사용자님께 승산은 0%에 가깝습니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,"참고로, 저는 하루종일도 할 수 있습니다. 한 판 떠보시겠습니까?",,,,,,,
A,,,,,,,"좋아, 공부하자.",,,,,,
TD,,,,조르주,암호 체계 교육 AI,현명한 선택이십니다.,,,,,,,
J,,,,,,,,,,39,,,
E,,,,,,,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,"총의 조립과 분해에 대해서 잘 모르신다니, 제가 알려들리겠습니다.",,,,,,,
TD,,,,조르주,암호 체계 교육 AI,조립은 분해의 역순입니다.,,,,,,,
A,,,,,,,...어쩌라고? 완전 당연한 소리잖아.,,,,,,
TD,,,,조르주,암호 체계 교육 AI,방금 표현은 군의 신병 교육 훈련소에서 흔히 사용되는 말입니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,저도 훈련 교관들과 같은 입장입니다. 누군가를 교육하는 존재입니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,따라서 교육의 효율성을 높이고 흥미를 돋우고자 군의 방식을 모방해봤습니다.,,,,,,,
A,,,,,,,그런 건 굳이 안해도 괜찮은데 말이야.,,,,,,
TD,,,,조르주,암호 체계 교육 AI,죄송합니다. 의욕이 앞서서 역효과가 난 모양입니다.,,,,,,,
J,,,,,,,,,,39,,,
E,,,,,,,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,...데이터의 암호화는 말그대로 복호화를 거꾸로 하면 됩니다.,,,,,,,-오리지널 데이터 입력에 관하여-
TD,,,,조르주,암호 체계 교육 AI,일단 암호화의 대상이 되는 오리지널 데이터를 작성해야 합니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,먼저 [이중 문자 치환 키보드]의 ADFGVX 배열 번호를 0으로 맞추겠습니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,그리고 입력하고 싶은 문자를 [이중 문자 치환 키보드]에서 찾아서 하면 클릭해주십시오.,,,,,,,
E,,,cdcccccccccd,,,,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,ADFGVX 배열 번호가 0이 아닙니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,ADFGVX 배열 번호 0으로 전환한 다음에 다시 입력해주십시오.,,,,,,,
E,,,cdcccccccccd,,,,,,,,,,
TD,1,,,조르주,암호 체계 교육 AI,잘하셨습니다. [이중 문자 치환 키보드]의 원소를 클릭하면 자동으로 해당하는 행과 열로 전환됩니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,암호화에서도 가상 키보드뿐만 아니라 물리 키보드를 지원합니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,[오리지널 데이터 디스플레이]의 입력창을 클릭하고 원하는 알파벳을 입력해보십시오.,,,,,,,
E,,,cccccccdcccd,,,,,,,,,,
TD,2,,,조르주,암호 체계 교육 AI,잘하셨습니다. 물리 키보드로 입력하더라도 자동으로 해당하는 행과 열로 전환됩니다.,,,,,,,-키 순위 전치 프로토콜 역전치에 관하여-
TD,,,,조르주,암호 체계 교육 AI,이런식으로 암호화하고 싶은 오리지널 데이터를 적어나가시면 됩니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,[오리지널 데이터 디스플레이]의 하단을 보면 오리지널 데이터의 총 글자 수를 표시합니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,또한 사용할 수 있는 전치 키의 글자 수도 자동으로 계산해줍니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,정보를 활용해서 데이터를 효율적으로 암호화하도록 합니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,암호화하고 싶은 오리지널 데이터를 작성했다면 전치 키에 따라서 키 순위 전치해야합니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,오리지널 데이터를 작성을 마친 후에 원하는 전치 키를 입력하십시오.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,"그 후에, 오른쪽 위의 [RE-TRANS] 버튼을 눌러주십시오.",,,,,,,
E,,,cccccdcdcccd,,,,,,,,,,
TD,3,,,조르주,암호 체계 교육 AI,잘하셨습니다. 이제 역전치된 데이터를 최종적으로 받아적으면 됩니다.,,,,,,,-암호화 데이터 저장에 관하여-
TD,,,,조르주,암호 체계 교육 AI,키 순위가 1인 글자부터 위에서 아래로 적어나가면 됩니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,전부 옮겨적으신 다음에 할 일은 보안 등급을 설정하는 것입니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,"클릭할 때마 보안 등급이 전환되므로, 알맞는 보안 등급을 설정해주십시오.",,,,,,,
TD,,,,조르주,암호 체계 교육 AI,또한 암호화한 파일의 제목을 정해주시면 암호화는 사실상 마무리됩니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,모든 것을 마치셨다면 [암호화 데이터 저장]의 오른쪽 상단에 있는 [SAVE] 버튼을 눌러주십시오.,,,,,,,
E,,,ccccccccdccd,,,,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,암호화 과정이 실패하였습니다. 중간에 실수를 하신 모양입니다.,,,,,,,-암호화 과정 실패-
TD,,,,조르주,암호 체계 교육 AI,비우거나 틀린 부분을 삭제한 다음에 다시 암호화해주시기 바랍니다.,,,,,,,
E,,,ccccccccccdc,,,,,,,,,,
TD,4,,,조르주,암호 체계 교육 AI,축하드립니다. 암호화 과정에 성공했습니다.,,,,,,,-암호화 과정 성공-
TD,,,,조르주,암호 체계 교육 AI,"이렇게 암호화된 데이터는 저장되고, 언제든지 확인할 수 있습니다.",,,,,,,
TD,,,,조르주,암호 체계 교육 AI,지금까지 제 지시에 잘 따라주셔서 감사드립니다.,,,,,,,
A,,,,,,,감사를 표해야하는 쪽은 나잖아?,,,,,,
TD,,,,조르주,암호 체계 교육 AI,저는 단지 기계에 불과합니다. 사용자님에게 감사받을 필요는 없습니다.,,,,,,,
A,,,,,,,그래도 역시 고맙다고 말할래.,,,,,,
TE,,,3.0,조르주,암호 체계 교육 AI,...,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,오늘 사용자님을 모실 수 있어서 영광이었습니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,사용자님이 가는 길에 축복이 있기를.,,,,,,,
E,,,ccccccccccdc,,,,,,,,,,
E,,,,,,,,,,,,,
E,,,,,,,,,,,,,
E,,,,,,,,,,,,,
E,,,,,,,,,,,,,
E,,,,,,,,,,,,,
E,,,,,,,,,,,,,
E,,,,,,,,,,,,,
TD,,,,,,,,,,,,,
TD,,,,,,,,,,,,,
TD,,,,,,,,,,,,,
