ChatType,Time,React,Speaker,Belong,Dialog,Choice_0,Choice_1,Choice_2,Jump_0,Jump_1,Jump_2,RemindInstruction,,,,,,
TD,,,나,정보국,건국 19년 11월 21일 토요일 기록...,,,,,,,,,,,,,
TD,,,나,정보국,대상자 전 주택교통부장관.,,,,,,,,,,,,,
TD,,,나,정보국,이름. 쾨니히스베르그 폰슈타인.,,,,,,,,,,,,,
TD,,,나,정보국,"혐의, 반국가 범죄조직 가입 및 조력.",,,,,,,,,,,,,
TD,,surprise,쾨니히스베르그,전 주택교통부 장관,반국가? 어처구니가 없군! 그걸 진심으로...,,,,,,,,,,,,,
TD,,,나,정보국,보이트-캄프 테스트 개시.,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,
TD,,,나,정보국,이름이 어떻게 되시죠?,,,,,,,-이름에 관한 질문-,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,이미 알고 계시잖습니까.,,,,,,,,,,,,,
TD,,,나,정보국,"다시, 이름이 어떻게 되시죠?",,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,지금 저랑 장난하는겁니까?,,,,,,,,,,,,,
TD,,,나,정보국,그럴리가요. 방금 당신의 그 반응까지 검사 대상입니다.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,뭔 그딴 검사가...,,,,,,,,,,,,,
TD,,,나,정보국,불만 있으십니까?,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,아닙니다.,,,,,,,,,,,,,
TD,,,나,정보국,그래보이는데요.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,이런 젠장!,,,,,,,,,,,,,
TD,,,나,정보국,불만이 많아보이는군요.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,...쾨니히스베르그 폰슈타인.,,,,,,,,,,,,,
TD,,,나,정보국,그렇게 하시면 됩니다. 어... 폰슈타인 가문의 가주셨네요?,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,"혁명으로 인해 사라진 가문, 이제 나랑 아무런 상관이 없습니다.",,,,,,,,,,,,,
TD,,,나,정보국,과연 그럴까요?,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,무슨 뜻으로 한 말입니까?,,,,,,,,,,,,,
TD,,,나,정보국,"자, 다음으로 넘어가죠.",,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,젠장. 뭐야 이 새끼?,,,,,,,,,,,,,
TD,,,나,정보국,분노 조절을 못하고 이 새끼라고 욕을 했다...라고 기록하겠습니다.,,,,,,,,,,,,,
TE,2.0,,쾨니히스베르그,전 주택교통부 장관,허...,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,
TD,,,나,정보국,현재 주소가 어떻게 되시죠?,,,,,,,-거주지에 관한 질문-,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,테헤란로 190입니다.,,,,,,,,,,,,,
TD,,,나,정보국,좋은 동내에서 살고 계시네요?,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,뭐...,,,,,,,,,,,,,
TD,,,나,정보국,ㅁㄴㅇㄻㄴㅇㄹ,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,"아직 계약기간이 남아있어서 있을 뿐이고, 곧 나올겁니다.",,,,,,,,,,,,,
TD,,,나,정보국,저는 대출이 아직 많이 남았습니다.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,살다보면 어떻게든 됩니다.,,,,,,,,,,,,,
TD,,,나,정보국,그래서 더 열심히 일할려고요. 잘리면 타격이 커서요.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,"검사관, 방금 발언은 마치...",,,,,,,,,,,,,
TD,,,나,정보국,"네, 말하시죠.",,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,아닙니다. 착각을 했습니다.,,,,,,,,,,,,,
TD,,,나,정보국,"뭔가 말할려다가 켕기는게 있는지 말을 끊었다, 라고 기록하겠습니다.",,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,빌어먹을.,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,
TD,,,나,정보국,아내가 하나.,,,,,,,-가족관계에 관한 질문-,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,당연히 아내는 하납니다.,,,,,,,,,,,,,
TD,,,나,정보국,"둘일 수도 있죠? 특히 경제적인 여유가 많은 당신이라면, 두집살림 정도야 할만하지 않습니까?",,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,그 발언은... 몹시 모욕적이군요.,,,,,,,,,,,,,
TD,,,나,정보국,남성의 로망아니겠습니까?,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,"내 한계를 시험하지 마시오, 검사관.",,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,"나에대한 모욕은 참을 수 있어도, 아내에 대한 모욕은 참지 않으니까!",,,,,,,,,,,,,
TD,,,나,정보국,그렇다면 고소하시겠습니까? 방금의 발언이라면 모욕죄 정도는 될텐데요.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,"하, 여기서의 일 자체가 비밀일텐데? 증거 채택은 될까?",,,,,,,,,,,,,
TD,,,나,정보국,잘 아시는군요. 그러면 조용히 해주십쇼.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,"제 가족관계. 아내는 당연히 하나, 아들이 하나, 딸이 둘 있습니다.",,,,,,,,,,,,,
TD,,,나,정보국,물어보지 않는 내용을 대답하지 마십시오.,,,,,,,,,,,,,
TD,,,나,정보국,경고입니다.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,...,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,
TD,,,나,정보국,재산에 대해서 말해주시죠.,,,,,,,-재산에 관한 질문-,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,차 하나 집 하나.,,,,,,,,,,,,,
TD,,,나,정보국,끝입니까?,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,유의미한 재산은 그거뿐입니다.,,,,,,,,,,,,,
TD,,,나,정보국,"그거, 흥미롭군요.",,,,,,,,,,,,,
TD,,,나,정보국,저택이 두 개로 보고되어있습니다만.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,그럴리가 없습니다. 저와 가족들이 실거주하는 저택 하나입니다.,,,,,,,,,,,,,
TD,,,나,정보국,그렇다면 둘 중에 한명은 거짓말을 하고 있군요.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,검사관 당신 아닙니까? 제 재산에 대해서 저보다 더 잘알고 있는 사람이 어디있겠습니까?,,,,,,,,,,,,,
TD,,,나,정보국,두고 보면 알겠죠.,,,,,,,,,,,,,
TE,1.0,,쾨니히스베르그,전 주택교통부 장관,......,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,
TD,,,나 ,정보국,전 주택교통부장관이시군요.,,,,,,,-경력에 관한 질문-,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,그렇습니다만.,,,,,,,,,,,,,
TD,,,나 ,정보국,그렇다면 꽤나 인맥이 좋으시겠습니다? 다른 장관들하고도 친할거고요.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,전 장관이라고 별로 특별한 힘이 있는 것도 아닙니다.,,,,,,,,,,,,,
TD,,,나 ,정보국,그럴리가요. 쓰잘데기없는 겸손을 떠시는군요.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,"흠흠, 나라의 전 장관이라면 은퇴 후에도 품위를 지켜야하는 법입니다.",,,,,,,,,,,,,
TD,,,나 ,정보국,"제 알바는 아니고, 그래서 현재는 백수시고요?",,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,그렇습니다. 숨기는 직업같은 건 없습니다.,,,,,,,,,,,,,
TD,,,나 ,정보국,지금 따로 수입은 없습니까?,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,연금으로도 충분히 삶을 영위할 수 있기에 사치만 하지 않으면 됩니다.,,,,,,,,,,,,,
TD,,,나 ,정보국,부럽군요. 저는 쥐꼬리만해서 별로 만족스럽지가 못한데.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,나라의 법이 그런 것을 어찌하겠습니까?,,,,,,,,,,,,,
TD,,,나 ,정보국,대신 수당이 나옵니다.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,수당?,,,,,,,,,,,,,
TD,,,나 ,정보국,간첩하나 잡을 때마다 수당말입니다. 그게 좀 짭잘해서요.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,안타깝지만 오늘은 딱히 소득이 없을 겁니다.,,,,,,,,,,,,,
TD,,,나 ,정보국,그건 검사 결과가 알려주겠죠.,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,
TD,,,나 ,정보국,여기 적힌 혐의를 읽어보십시요. 또박또박.,,,,,,,-혐의에 관한 질문-,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,"반국가 범죄조직 가입 및 조력, 이라고 적혀있군요.",,,,,,,,,,,,,
TD,,,나 ,정보국,혐의를 인정하십니까?,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,근거없는 생억지입니다.,,,,,,,,,,,,,
TD,,,나 ,정보국,"아, 눈이 흔들렸던 것 같은데요.",,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,저를 압박하겠다고 아무 소리나 내뱉지 마십시오.,,,,,,,,,,,,,
TD,,,나 ,정보국,죄송하지만 진짜 흔들렸습니다.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,"그렇다면... 하, 마음대로 생각하시오.",,,,,,,,,,,,,
TD,,,나 ,정보국,"네, 제 마음대로 생각하겠습니다.",,,,,,,,,,,,,
TE,3.0,surprise,쾨니히스베르그,전 주택교통부 장관,허...,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,
TD,,,나 ,정보국,저는 생각하지 않습니다.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,무슨 소리입니까?,,,,,,,,,,,,,
TD,,,나 ,정보국,기계가 대답할겁니다.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,기계를 믿습니까?! 이딴 강철 덩어리를!,,,,,,,,,,,,,
E,,,나,정보국,기계는 거짓말을 하지 않습니다.,,,,,,,,,,,,,
E,,,쾨니히스베르그,전 주택교통부 장관,기계도 결국 사람이 만듭니다.,,,,,,,,,,,,,
E,,,나,정보국,인간도 기계입니다. 뇌는 처리연산장치일뿐.,,,,,,,,,,,,,
E,,,쾨니히스베르그,전 주택교통부 장관,스스로의 격을 떨어뜨리는군! 이래서...,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
